iter	RMSE
0	1.705289709
1	1.655635738
2	1.612568151
3	1.573067361
4	1.529910428
5	1.488909591
6	1.455822036
7	1.418606501
8	1.38671531
9	1.358336098
10	1.327737525
11	1.302499952
12	1.27519827
13	1.249883371
14	1.22818759
15	1.204963587
16	1.186186417
17	1.166006298
18	1.147834016
19	1.133724046
20	1.119278772
21	1.103812023
22	1.089748207
23	1.076061868
24	1.061026344
25	1.050928386
26	1.035323268
27	1.020764016
28	1.007816632
29	0.9962303349
30	0.9831706199
31	0.9776575893
32	0.9654278575
33	0.9556580922
34	0.9426745439
35	0.930969672
36	0.9234800235
37	0.9134818363
38	0.9039447224
39	0.8961751681
40	0.8905685246
41	0.8818502753
42	0.8725884483
43	0.8665966826
44	0.8584437583
45	0.8516359103
46	0.8490526951
47	0.8422345901
48	0.8355013709
49	0.829959225
50	0.8223224938
51	0.8162161587
52	0.8106617388
53	0.8068485919
54	0.8010854326
55	0.7949587107
56	0.7912552357
57	0.7876204207
58	0.7836314745
59	0.7800585965
60	0.7757328733
61	0.77258067
62	0.7693680038
63	0.7672529734
64	0.7642117972
65	0.7609998179
66	0.7579611566
67	0.7554807767
68	0.7531322387
69	0.7510971112
70	0.7501167579
71	0.7484624484
72	0.7460174715
73	0.743398418
74	0.7409849965
75	0.7383973629
76	0.7367154831
77	0.7348603423
78	0.7330020591
79	0.7317777727
80	0.7299541421
81	0.7287739369
82	0.7268203272
83	0.7245044641
84	0.7216657494
85	0.7188313048
86	0.7172891676
87	0.7150861367
88	0.7123103901
89	0.70965534
90	0.7069632518
91	0.7054580687
92	0.7038069282
93	0.7023437226
94	0.7004078662
95	0.6988332888
96	0.6985730392
97	0.697091709
98	0.69408547
99	0.6912796193
100	0.6895835344
101	0.688196107
102	0.6868837188
103	0.6845272652
104	0.682456514
105	0.6817178519
106	0.6803300208
107	0.6785833973
108	0.6773507459
109	0.6762395593
110	0.6750689093
111	0.6747825405
112	0.6739505837
113	0.6723964005
114	0.6714285852
115	0.6697353477
116	0.6684993178
117	0.6667147854
118	0.6658594622
119	0.6641494434
120	0.6622912209
121	0.6601646993
122	0.6601562672
123	0.6580116931
124	0.6569799722
125	0.6546651583
126	0.6528536207
127	0.650961186
128	0.6497516873
129	0.6487517455
130	0.6475662798
131	0.6475183656
132	0.6452894008
133	0.6447239516
134	0.6437169131
135	0.6425938092
136	0.6418010666
137	0.6404609038
138	0.6394540617
139	0.6388811733
140	0.6374195602
141	0.6367585911
142	0.6358279315
143	0.6347908184
144	0.6336097878
145	0.6327275167
146	0.6325443056
147	0.6320093138
148	0.630980451
149	0.6297944115
150	0.6286467755
151	0.6282022622
152	0.6274847993
153	0.6268162235
154	0.6263164684
155	0.6255891661
156	0.6248750565
157	0.6242719654
158	0.6227594072
159	0.6219660095
160	0.6215625784
161	0.6208550042
162	0.6200033021
163	0.619848832
164	0.6188887987
165	0.6171751403
166	0.6151343679
167	0.614250655
168	0.6134240236
169	0.6127757958
170	0.6120423441
171	0.6116771899
172	0.6110161858
173	0.6107011452
174	0.6094034175
175	0.6087663061
176	0.6083417261
177	0.6076112502
178	0.6073077036
179	0.6070699891
180	0.6066993279
181	0.6061417008
182	0.6053452251
183	0.6050585488
184	0.6041096457
185	0.6037547656
186	0.6031065811
187	0.6022793197
188	0.6014688888
189	0.6006232412
190	0.5999265242
191	0.5993612589
192	0.5983386592
193	0.596640224
194	0.595571229
195	0.5947587138
196	0.5942951766
197	0.5933350467
198	0.5925679899
199	0.5924055273
200	0.5917472722
201	0.5911004725
202	0.5907537649
203	0.5895027282
204	0.5881386106
205	0.5864793298
206	0.5861980314
207	0.5851291472
208	0.584281369
209	0.5837241519
210	0.5833522141
211	0.5822884183
212	0.5815727628
213	0.5805007364
214	0.5803142207
215	0.5797965499
216	0.5792089166
217	0.5789580663
218	0.5780683112
219	0.5776460197
220	0.5770957687
221	0.5761708884
222	0.5759204088
223	0.5754554678
224	0.5750611341
225	0.5741760142
226	0.5739415602
227	0.5733371205
228	0.5715364766
229	0.5714537625
230	0.5708912234
231	0.5700458985
232	0.5691403376
233	0.5686132434
234	0.568173068
235	0.5676738697
236	0.5669747763
237	0.5662671071
238	0.5659683874
239	0.5653059811
240	0.5646025187
241	0.5640595995
242	0.5636489725
243	0.5631991774
244	0.5626229045
245	0.5613968887
246	0.5604206452
247	0.5598732701
248	0.5596722846
249	0.5589791359
250	0.558302569
251	0.5568815349
252	0.5553456721
253	0.5546816696
254	0.553967913
255	0.5535028922
256	0.5528558757
257	0.5522021953
258	0.5519932233
259	0.5514372446
260	0.5510188722
261	0.5506801264
262	0.5501467392
263	0.5493238826
264	0.5488744258
265	0.5487841483
266	0.5478826849
267	0.5473847102
268	0.5466366528
269	0.54572991
270	0.5454659108
271	0.5454022367
272	0.5440412566
273	0.5429644508
274	0.5416357083
275	0.5415482474
276	0.5409071406
277	0.5403775735
278	0.5401916548
279	0.5391292094
280	0.5388744988
281	0.5382706277
282	0.5380208087
283	0.5370678292
284	0.5368732522
285	0.5360566079
286	0.535588836
287	0.5345111241
288	0.5341690687
289	0.5337832308
290	0.5336251156
291	0.5334408023
292	0.5323419833
293	0.5318924879
294	0.5317830171
295	0.5315315109
296	0.5304742991
297	0.530379555
298	0.5303307046
299	0.5282277076
300	0.5279055469
301	0.527508666
302	0.5270129914
303	0.5265286752
304	0.5251972483
305	0.5248613569
306	0.5245486559
307	0.5235327479
308	0.5232875287
309	0.5224957351
310	0.5209927252
311	0.5203166353
312	0.5190550871
313	0.5171559779
314	0.516679713
315	0.5160643298
316	0.5154695346
317	0.5141810513
318	0.5137701459
319	0.51287224
320	0.5125599706
321	0.5124089276
322	0.5116385703
323	0.5110977373
324	0.5106640775
325	0.5088617474
326	0.5086268956
327	0.5081401223
328	0.5074529813
329	0.5071894661
330	0.5067174609
331	0.5065951982
332	0.5048137834
333	0.50363559
334	0.5030513128
335	0.5025507677
336	0.5023361065
337	0.5018211316
338	0.5013569971
339	0.5009935314
340	0.5004470558
341	0.4993987882
342	0.4984207885
343	0.4977165356
344	0.4965486108
345	0.4962041694
346	0.4954727097
347	0.4940313226
348	0.4929260545
349	0.492178947
350	0.4919799286
351	0.4915652638
352	0.4911508003
353	0.4897898137
354	0.4895863004
355	0.4895088262
356	0.4875119769
357	0.4873181228
358	0.4867356084
359	0.4862588994
360	0.4860875454
361	0.4841586444
362	0.4833163528
363	0.4828839571
364	0.4823718308
365	0.4816124559
366	0.4809995835
367	0.4805376353
368	0.4801688514
369	0.4783417419
370	0.4767830761
371	0.4760957289
372	0.4749365911
373	0.4744927676
374	0.4743834051
375	0.4733527777
376	0.4731971138
377	0.4729367971
378	0.4724264483
379	0.4722153317
380	0.471724847
381	0.4703281795
382	0.470093007
383	0.4689779923
384	0.4681422801
385	0.4678722133
386	0.4670407304
387	0.4668090553
388	0.4657977191
389	0.4649289038
390	0.4645502971
391	0.464100618
392	0.4633768238
393	0.4625525043
394	0.4620863852
395	0.4610366666
396	0.4609738744
397	0.460746973
398	0.46064742
399	0.4605120483
400	0.4602489369
401	0.4600400138
402	0.4595347372
403	0.4584175579
404	0.4580330736
405	0.45787437
406	0.4570419404
407	0.4568656714
408	0.4566821758
409	0.4557291159
410	0.4550159565
411	0.4541196596
412	0.45358697
413	0.4532468385
414	0.4530610047
415	0.4528300805
416	0.4526772513
417	0.4522919077
418	0.4504994938
419	0.449625585
420	0.4492560548
421	0.4484745007
422	0.4481226975
423	0.4466441302
424	0.4464398364
425	0.4461975637
426	0.4459920351
427	0.4443316702
428	0.4441168107
429	0.443927996
430	0.4426586761
431	0.4422587536
432	0.4417697087
433	0.4412530686
434	0.4409520945
435	0.4400696648
436	0.4399805808
437	0.4388873564
438	0.4383741163
439	0.4378717418
440	0.4377232077
441	0.4374981883
442	0.4373415997
443	0.4367108615
444	0.436437564
445	0.4358199889
446	0.4355721803
447	0.4354190604
448	0.4351931544
449	0.4350616451
450	0.4343014997
451	0.434197658
452	0.4330258892
453	0.4322123724
454	0.4319974525
455	0.431570675
456	0.4313549006
457	0.4312997304
458	0.4309968316
459	0.4307062135
460	0.4295116655
461	0.4289625339
462	0.4286466537
463	0.4285457336
464	0.4281281115
465	0.4273693633
466	0.4264599856
467	0.4260190793
468	0.4255777807
469	0.4253288577
470	0.4251608147
471	0.4245595299
472	0.4237703672
473	0.4235473299
474	0.4234451562
475	0.4228752976
476	0.4223437107
477	0.4219901723
478	0.4214949222
479	0.4210629866
480	0.4201714401
481	0.4194236722
482	0.4191677128
483	0.4186917535
484	0.4177876214
485	0.4171089267
486	0.4164264042
487	0.416010611
488	0.4154790129
489	0.4150020541
490	0.4147693262
491	0.4138728066
492	0.413489597
493	0.4131985339
494	0.4126120094
495	0.4125640981
496	0.4124751506
497	0.4124192786
498	0.4122598226
499	0.4117369969
500	0.4115924529
501	0.4106632329
502	0.4100218736
503	0.4095213874
504	0.409204045
505	0.4086345425
506	0.4083719303
507	0.4082720613
508	0.4070220247
509	0.4068270938
510	0.4060962585
511	0.4055998027
512	0.4053756185
513	0.4051944194
514	0.4048067841
515	0.4040706188
516	0.4034420522
