iter	Passed	Remaining
0	2	2220
1	3	1991
2	5	1824
3	6	1637
4	7	1587
5	8	1477
6	9	1401
7	10	1336
8	11	1304
9	12	1247
10	13	1236
11	15	1244
12	16	1239
13	17	1239
14	18	1189
15	18	1162
16	19	1150
17	21	1147
18	21	1132
19	22	1100
20	23	1096
21	24	1102
22	25	1103
23	27	1108
24	28	1118
25	29	1121
26	31	1125
27	32	1116
28	33	1111
29	34	1112
30	35	1122
31	36	1099
32	37	1099
33	38	1099
34	40	1104
35	41	1107
36	42	1105
37	43	1092
38	44	1094
39	45	1089
40	46	1088
41	47	1085
42	48	1082
43	49	1083
44	51	1084
45	52	1084
46	52	1071
47	54	1071
48	55	1072
49	56	1070
50	57	1067
51	58	1065
52	59	1063
53	60	1062
54	61	1061
55	62	1061
56	64	1062
57	65	1059
58	66	1060
59	67	1056
60	68	1051
61	69	1049
62	70	1049
63	71	1044
64	72	1047
65	74	1049
66	75	1045
67	76	1045
68	77	1045
69	78	1048
70	79	1045
71	81	1048
72	82	1052
73	84	1052
74	85	1055
75	86	1057
76	88	1062
77	90	1065
78	91	1064
79	92	1062
80	93	1057
81	93	1050
82	94	1047
83	95	1044
84	96	1040
85	97	1039
86	98	1034
87	99	1029
88	100	1027
89	101	1024
90	102	1020
91	102	1016
92	103	1011
93	104	1006
94	105	1002
95	105	997
96	106	989
97	106	983
98	107	977
99	107	971
100	108	967
101	109	962
102	110	959
103	110	955
104	111	950
105	112	945
106	112	941
107	113	936
108	113	931
109	114	926
110	115	923
111	115	916
112	116	910
113	116	906
114	117	902
115	117	897
116	118	894
117	118	888
118	119	884
119	120	880
120	120	876
121	121	871
122	121	864
123	121	859
124	122	854
125	122	850
126	123	845
127	123	840
128	124	837
129	124	834
130	125	830
131	125	823
132	125	819
133	126	814
134	126	811
135	127	807
136	127	804
137	128	800
138	128	796
139	129	793
140	129	790
141	130	786
142	130	782
143	130	778
144	131	775
145	131	772
146	132	768
147	132	765
148	133	762
149	134	759
150	134	756
151	134	753
152	135	750
153	136	747
154	136	745
155	137	742
156	137	739
157	138	736
158	138	733
159	139	731
160	139	728
161	140	725
162	140	722
163	140	718
164	141	715
165	141	713
166	142	711
167	143	708
168	143	706
169	144	704
170	144	701
171	145	698
172	145	695
173	145	692
174	146	689
175	146	686
176	147	684
177	147	681
178	147	678
179	148	676
180	148	673
181	149	671
182	149	668
183	150	666
184	150	664
185	151	661
186	151	659
187	152	656
188	152	654
189	152	651
