,author,difficulty,category,users_solved,event_points,author_encoded
0,venax,1,Web Exploitation,5884,100,0.01932367149758454
1,darkraicg492,1,Binary Exploitation,3196,75,0.004830917874396135
2,prince niyonshuti n.,1,Web Exploitation,4340,100,0.007246376811594203
3,prince niyonshuti n.,1,Web Exploitation,5631,50,0.007246376811594203
4,nana ama atombo-sackey,1,Cryptography,7210,100,0.00966183574879227
5,syreal,1,Reverse Engineering,3695,75,0.1859903381642512
6,syreal,1,General Skills,9959,10,0.1859903381642512
7,michael crotty,1,Cryptography,3930,200,0.004830917874396135
9,taylor mccampbell,1,General Skills,3334,100,0.007246376811594203
10,taylor mccampbell,1,General Skills,3429,100,0.007246376811594203
11,taylor mccampbell,1,General Skills,3746,100,0.007246376811594203
12,shuailin pan (leconjuror),1,Forensics,4390,100,0.004830917874396135
13,prince niyonshuti n.,1,Forensics,3721,50,0.007246376811594203
14,jeffery john,1,Forensics,46426,50,0.024154589371980676
15,jeffery john,1,Forensics,51644,50,0.024154589371980676
16,jeffery john,1,General Skills,44162,100,0.024154589371980676
17,"abrxs, pr1or1tyq",1,Binary Exploitation,27525,50,0.007246376811594203
19,nana ama atombo-sackey,1,Web Exploitation,60418,50,0.00966183574879227
20,jeffery john,1,Web Exploitation,50689,100,0.024154589371980676
21,jeffery john,1,General Skills,38380,50,0.024154589371980676
22,jeffery john,1,General Skills,53567,25,0.024154589371980676
23,syreal,1,Forensics,28651,100,0.1859903381642512
25,ngirimana schadrack,1,Cryptography,35721,50,0.012077294685990338
26,nana ama atombo-sackey,1,General Skills,18014,200,0.00966183574879227
27,jeffery john,1,General Skills,24505,50,0.024154589371980676
28,jeffery john,1,General Skills,17975,75,0.024154589371980676
29,mubarak mikail,1,Forensics,27255,100,0.04106280193236715
30,jeffery john,1,Web Exploitation,41882,50,0.024154589371980676
31,jeffery john,1,General Skills,20866,75,0.024154589371980676
32,nana ama atombo-sackey,1,General Skills,18300,100,0.00966183574879227
33,theoneste byagutangaza,1,General Skills,32472,100,0.00966183574879227
34,syreal,1,General Skills,46127,100,0.1859903381642512
35,syreal,1,General Skills,52164,100,0.1859903381642512
36,syreal,1,Web Exploitation,60688,100,0.1859903381642512
37,syreal,1,Web Exploitation,79774,100,0.1859903381642512
38,syreal,1,Web Exploitation,61425,100,0.1859903381642512
40,syreal,1,General Skills,55073,35,0.1859903381642512
41,syreal,1,General Skills,57834,25,0.1859903381642512
42,syreal,1,General Skills,49003,40,0.1859903381642512
43,syreal,1,General Skills,51986,30,0.1859903381642512
44,syreal,1,General Skills,56358,25,0.1859903381642512
45,syreal,1,General Skills,58281,25,0.1859903381642512
46,syreal,1,General Skills,61562,15,0.1859903381642512
47,syreal,1,General Skills,56797,20,0.1859903381642512
48,syreal,1,General Skills,83798,30,0.1859903381642512
50,syreal,1,General Skills,96317,20,0.1859903381642512
51,madstacks,1,Web Exploitation,82514,40,0.07246376811594203
