id,name,author,difficulty,event,category,tags,users_solved,event_points,solved_by_user,bookmarked
492,SSTI1,Venax,1,picoCTF 2025,Web Exploitation,browser_webshell_solvable,5884,100,True,False
490,PIE TIME,Darkraicg492,1,picoCTF 2025,Binary Exploitation,browser_webshell_solvable,3196,75,False,False
482,n0s4n1ty 1,Prince Niyonshuti N.,1,picoCTF 2025,Web Exploitation,browser_webshell_solvable,4340,100,True,False
476,head-dump,Prince Niyonshuti N.,1,picoCTF 2025,Web Exploitation,browser_webshell_solvable,5631,50,True,False
475,hashcrack,Nana Ama Atombo-Sackey,1,picoCTF 2025,Cryptography,browser_webshell_solvable,7210,100,False,False
472,Flag Hunters,syreal,1,picoCTF 2025,Reverse Engineering,browser_webshell_solvable,3695,75,False,False
471,FANTASY CTF,syreal,1,picoCTF 2025,General Skills,browser_webshell_solvable,9959,10,False,False
470,EVEN RSA CAN BE BROKEN???,Michael Crotty,1,picoCTF 2025,Cryptography,browser_webshell_solvable,3930,200,False,False
469,Cookie Monster Secret Recipe,Brhane Giday and Prince Niyonshuti N.,1,picoCTF 2025,Web Exploitation,browser_webshell_solvable,8151,50,True,False
463,Rust fixme 3,Taylor McCampbell,1,picoCTF 2025,General Skills,,3334,100,False,False
462,Rust fixme 2,Taylor McCampbell,1,picoCTF 2025,General Skills,,3429,100,False,False
461,Rust fixme 1,Taylor McCampbell,1,picoCTF 2025,General Skills,,3746,100,False,False
460,RED,Shuailin Pan (LeConjuror),1,picoCTF 2025,Forensics,browser_webshell_solvable,4390,100,False,False
459,Ph4nt0m 1ntrud3r,Prince Niyonshuti N.,1,picoCTF 2025,Forensics,browser_webshell_solvable,3721,50,False,False
450,Verify,Jeffery John,1,picoCTF 2024,Forensics,"browser_webshell_solvable, checksum, grep",46426,50,False,False
444,Scan Surprise,Jeffery John,1,picoCTF 2024,Forensics,"browser_webshell_solvable, qr_code, shell",51644,50,False,False
